[0mroot [6] TPulse->Scan("trigtime:time:ToT"[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[0m[38;5;83m[1m([0m"trigtime:time:ToT"[0m[38;5;83m[1m)
[0m***********************************************************
*    Row   * Instance *  trigtime *      time *       ToT *
*      466 *        0 *         0 *      4236 *        83 *
*      467 *        0 *         0 *      4232 *        83 *
*      468 *        0 *         0 *      4236 *        83 *
*      469 *        0 *         0 *      4232 *        83 *
*      470 *        0 *         0 *      4236 *        83 *
*      471 *        0 *         0 *      4237 *        84 *
*      472 *        0 *         0 *      4231 *        84 *
*      473 *        0 *         0 *      4233 *        83 *
*      474 *        0 *         0 *      4233 *        84 *
*      475 *        0 *         0 *      4236 *        83 *
*      476 *        0 *         0 *      4231 *        84 *
*      477 *        0 *         0 *      4239 *        83 *
*      478 *        0 *         0 *      4232 *        83 *
*      479 *        0 *         0 *      4237 *        83 *
*      480 *        0 *         0 *      4238 *        83 *
*      481 *        0 *         0 *      4233 *        83 *
*      482 *        0 *         0 *      4232 *        83 *
*      483 *        0 *         0 *      4238 *        83 *
*      484 *        0 *         0 *      4236 *        84 *
*      485 *        0 *         0 *      4233 *        83 *
*      486 *        0 *         0 *      4238 *        83 *
*      487 *        0 *         0 *      4232 *        84 *
*      488 *        0 *         0 *      4236 *        84 *
*      489 *        0 *         0 *      4234 *        83 *
*      490 *        0 *         0 *      4235 *        83 *
*      491 *        0 *         0 *      4237 *        83 *
*      492 *        0 *         0 *      4324 *        83 *
*      492 *        1 *         0 *      4415 *        83 *
*      493 *        0 *         0 *      4331 *        84 *
*      493 *        1 *         0 *      4431 *        83 *
*      494 *        0 *         0 *      4234 *        83 *
*      495 *        0 *         0 *      4235 *        83 *
*      496 *        0 *         0 *      4234 *        83 *
*      497 *        0 *         0 *      4237 *        83 *
*      498 *        0 *         0 *      4237 *        83 *
*      499 *        0 *         0 *      4237 *        83 *
*      500 *        0 *         0 *      4236 *        83 *
*      501 *        0 *         0 *      4239 *        83 *
*      502 *        0 *         0 *      4236 *        84 *
*      503 *        0 *         0 *      4238 *        83 *
*      504 *        0 *         0 *      4233 *        83 *
*      505 *        0 *         0 *      4237 *        84 *
*      506 *        0 *         0 *      4157 *        83 *
*      506 *        1 *         0 *      9270 *        83 *
*      507 *        0 *         0 *      4235 *        84 *
*      508 *        0 *         0 *      4234 *        83 *
*      509 *        0 *         0 *      4236 *        84 *
*      510 *        0 *         0 *      4238 *        83 *
*      511 *        0 *         0 *      4238 *        83 *
*      512 *        0 *         0 *      4237 *        84 *
*      513 *        0 *         0 *      4235 *        83 *
*      514 *        0 *         0 *      4237 *        84 *
*      515 *        0 *         0 *      4239 *        83 *
*      516 *        0 *         0 *      4234 *        83 *
*      517 *        0 *         0 *      4238 *        83 *
*      518 *        0 *         0 *      4233 *        83 *
*      519 *        0 *         0 *      4237 *        83 *
*      520 *        0 *         0 *      4232 *        84 *
*      521 *        0 *         0 *      4237 *        83 *
*      522 *        0 *         0 *      4237 *        83 *
*      523 *        0 *         0 *      4231 *        84 *
*      524 *        0 *         0 *      4238 *        83 *
*      525 *        0 *         0 *      4235 *        83 *
*      526 *        0 *         0 *      4235 *        83 *
*      527 *        0 *         0 *      4238 *        83 *
*      528 *        0 *         0 *      4231 *        84 *
*      529 *        0 *         0 *      4237 *        83 *
*      530 *        0 *         0 *      4232 *        84 *
*      531 *        0 *         0 *      4236 *        83 *
*      532 *        0 *         0 *      4234 *        83 *
*      533 *        0 *         0 *      4610 *        83 *
*      533 *        1 *         0 *      4990 *        84 *
*      534 *        0 *         0 *       951 *        83 *
*      534 *        1 *         0 *      6061 *        83 *
*      535 *        0 *         0 *      4238 *        83 *
*      536 *        0 *         0 *      4231 *        84 *
*      537 *        0 *         0 *      4232 *        83 *
*      538 *        0 *         0 *      4232 *        83 *
*      539 *        0 *         0 *      4236 *        84 *
